,Unnamed: 0,rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,status,dem_source,n_orig_centerlines,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,n_centerlines,longuest_centerline_km,lake_type,calving_front_width,length_to_LGM,region,debris,debris_jb
154,154,RGI60-15.10765,15,15-Feb,Cn5O212A015,90.482,28.15,7.209,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,6177.17334,6171,5674,6585,6585,5674,0,1,5.457682825,0,,,bhutan,,0
155,155,RGI60-15.03049,15,15-Feb,,88.82132146,27.94929301,7.189,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5917.846191,5908,5321,6864,6846,5321,0.002722014,5,6.911804758,1,540,,sikkim,,0
156,156,RGI60-15.02897,15,15-Feb,,87.89752197,27.90143585,7.183,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5497.783203,5515,4887,6184,6184,4887,0,6,7.447377844,0,,,sikkim,1,1
157,157,RGI60-15.11011,15,15-Jan,Cn5O257D0006,82.866,29.701,7.155,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5789.123047,5753,5284,6424,6411,5284,0.000453772,5,7.362085204,0,,,central_west_one,,0
158,158,RGI60-15.04679,15,15-Jan,,84.10401167,28.89274974,7.119,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5991.445313,6016,5340,6714,6714,5340,0,5,6.970158364,0,,,,,
159,159,RGI60-15.09868,15,15-Feb,Cn5O193A0108,87.133,28.047,7.061,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5400.357422,5352,4885,6056,6056,4885,0,6,6.809877918,1,80,,everest,1,1
160,160,RGI60-15.03401,15,15-Feb,,86.96861807,27.85429816,7.017,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5688.883789,5681,5208,6543,6543,5208,0,6,5.862829145,1,260,,everest,,1
161,161,RGI60-15.10463,15,15-Feb,Cn5O197B,88.251,27.968,6.924,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5970.073242,5993,5338,6490,6448,5338,0.005787922,5,6.679094947,1,280,,sikkim,,0
162,162,RGI60-15.02783,15,15-Feb,,88.03695618,27.70574732,6.905,Glacier,Land-terminating,Glacier or ice cap,SRTM,2,,,5006.081543,4863,4170,6578,6578,4170,0,2,12.23654141,0,,,sikkim,,1
163,163,RGI60-15.03744,15,15-Feb,,86.53489685,28.01120949,6.889,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5274.313477,5273,5006,5951,5951,5006,0,4,7.29296363,2,,,everest,1,1
164,164,RGI60-15.03742,15,15-Feb,,86.91528338,27.92662512,6.825,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5175.144531,5144,4917,5855,5855,4917,0,4,7.46775757,0,,,everest,1,1
165,165,RGI60-15.09801,15,15-Feb,Cn5O193A0125 Kadazhanggeli Glacier,86.985,28.103,6.803,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,6436.12793,6435,5931,6987,6987,5931,0,4,6.329848481,0,,,everest,,0
166,166,RGI60-15.09481,15,15-Feb,Cn5O191B001,85.807,28.213,6.793,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5350.513184,5018,4476,6930,6930,4476,0,4,7.374632319,0,,,poiqu,1,1
167,167,RGI60-15.10866,15,15-Feb,Cn5O212A0188,90.642,28.216,6.782,Glacier,Land-terminating,Glacier or ice cap,SRTM,2,,,5861.428223,5722,5074,7117,7117,5074,0,2,5.775818177,1,300,1800,bhutan,1,1
168,168,RGI60-15.11015,15,15-Jan,Cn5O257E0008,82.639,29.895,6.748,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5739.81543,5769,5153,6352,6352,5153,0,1,7.520260603,0,,,central_west_one,,0
169,169,RGI60-15.03976,15,15-Jan,,85.05481687,28.34589247,6.686,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5391.21875,5407,4597,6146,6146,4597,0,5,4.152301008,0,,,,,
170,170,RGI60-15.03030,15,15-Feb,,88.81869367,27.91288941,6.602,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5521.836426,5527,4687,6394,6394,4687,0,1,6.381868684,0,,,sikkim,,1
171,171,RGI60-15.02906,15,15-Feb,,87.88063699,27.8935028,6.595,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5618.069824,5631,4977,6135,6135,4977,0,6,4.970270704,0,,,sikkim,,0
172,172,RGI60-15.02908,15,15-Feb,,88.1374263,27.91910272,6.51,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5929.121094,5928,5453,6650,6650,5453,0,4,4.697064643,1,340,,sikkim,,0
173,173,RGI60-15.10697,15,15-Feb,Cn5O201A0016,88.908,27.876,6.489,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5323.212891,5181,4743,6645,6645,4743,0,5,7.86456161,0,,,sikkim,,1
174,174,RGI60-15.04719,15,15-Jan,,84.32461548,28.70119476,6.462,Glacier,Land-terminating,Glacier or ice cap,SRTM,8,,,5526.588867,5504,4731,6365,6365,4731,0,8,8.26864242,0,,,,,
175,175,RGI60-15.10673,15,15-Feb,Cn5O198E0055,87.843,27.957,6.451,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5750.657227,5767,5311,6226,6191,5311,0.002481976,4,5.005064643,1,290,,sikkim,,0
